detected_arch_length,simulated_arch_length,arch_length_discrepancy,label,num_incisors,num_canines,num_premolars,num_molars,avg_confidence_incisor,avg_confidence_canine,avg_confidence_premolar,avg_confidence_molar,detected_arch_length_outliers_flg
1982.68772,1879.001647,103.6860726,basic,4,2,4,4,0.8885083497,0.889087677,0.9034957886,0.9119155705,False
2031.01308,1941.538587,89.47449319,basic,4,2,4,4,0.897216633,0.9002756774,0.9001809359,0.906242162,False
2062.371419,2039.576349,22.79507001,basic,4,2,4,4,0.8966285884,0.8890836239,0.896411255,0.9107010067,False
1974.116457,1876.192432,97.92402463,pro,4,2,4,4,0.8983665109,0.8988725841,0.8964670599,0.9133871347,False
1953.98028,1886.824837,67.15544362,pro,4,2,4,4,0.8966301233,0.8948045075,0.8880962878,0.9051687121,False
2073.862617,1975.704149,98.15846822,pro,4,2,4,4,0.8993229121,0.8839301467,0.8938809484,0.9060833454,False
2167.943214,2100.465715,67.47749986,pro,4,2,4,5,0.8915608227,0.9125660062,0.8998363316,0.8984000087,False
1996.897493,1905.975188,90.92230437,basic,3,2,4,4,0.8988243739,0.882930696,0.896342054,0.9080697447,False
1880.600904,1802.168259,78.43264555,basic,4,2,4,4,0.8927804232,0.8928734958,0.893014282,0.9094533771,False
2056.741211,2023.254729,33.48648246,basic,4,2,4,4,0.891373381,0.8963005543,0.9022445083,0.9078448117,False
2145.679868,2015.586716,130.0931521,pro,4,2,4,5,0.8922954798,0.893142879,0.8895138502,0.9025757432,False
2032.229688,1951.863888,80.3657999,pro,4,2,4,4,0.896628201,0.8960003853,0.8932887018,0.9110475928,False
1911.246938,1851.716511,59.53042671,pro,4,2,4,4,0.8943400979,0.8916659057,0.9053669274,0.9043166935,False
2162.073935,2082.292254,79.78168095,basic,4,2,4,6,0.8936642408,0.9028744102,0.8979331702,0.9152171512,False
2084.945226,1970.859116,114.0861101,pro,4,2,4,4,0.8893867135,0.9069983065,0.8936735839,0.9067552537,False
1675.950709,1631.973079,43.97762977,basic,4,2,4,4,0.8983805478,0.8963134289,0.8975834399,0.9167393744,False
1997.918808,1898.891375,99.02743222,basic,4,2,4,4,0.8921595067,0.9018224478,0.8893955052,0.9055453241,False
2120.559801,1887.542255,233.0175467,basic,4,2,5,4,0.9003534615,0.8960492313,0.8220340252,0.8345517218,False
2040.057129,1928.154691,111.9024382,basic,4,2,2,5,0.8980041146,0.8952771425,0.908624053,0.9015097976,False
2160.252103,2076.712762,83.53934057,basic,4,2,4,5,0.8908970803,0.8972884119,0.8982858807,0.903075254,False
1680.264967,1645.448421,34.81654596,pro,4,2,4,4,0.8934793919,0.9079596102,0.8973995447,0.9158926308,False
1961.723579,2002.055748,-40.33216863,pro,4,2,4,4,0.8914319575,0.9005667865,0.8876711726,0.9089075029,False
1930.505107,1872.574346,57.93076116,basic,4,2,4,4,0.8910391033,0.8932565749,0.8951747417,0.9050598443,False
2073.702664,1899.013078,174.6895856,pro,4,2,4,4,0.8918144107,0.9013586342,0.899931699,0.9054880291,False
2241.794091,2170.516966,71.27712525,basic,4,2,4,6,0.8950451165,0.8953798115,0.9024069905,0.9073506594,False
2042.959767,1962.270985,80.68878176,basic,4,2,4,4,0.8977191597,0.8934745491,0.8912411332,0.9074960351,False
2011.005069,1989.676685,21.32838368,pro,4,2,4,4,0.8871993124,0.899894923,0.8975419998,0.9044339508,False
2051.995968,1984.436675,67.55929351,basic,4,2,4,4,0.9022856206,0.9001652598,0.8989159614,0.9146486968,False
1978.388331,1913.013826,65.37450487,pro,4,2,4,4,0.8958995342,0.888939172,0.8991919458,0.8998341709,False
1895.540798,1798.843641,96.69715675,basic,3,2,4,4,0.892091016,0.8849174976,0.9004890472,0.9107256532,False
2336.266605,1825.750243,510.5163626,basic,4,2,4,6,0.8956076205,0.8934046328,0.906737864,0.9144010643,False
2202.49051,2109.424443,93.06606705,basic,4,2,4,5,0.894271329,0.9055734277,0.8909652233,0.8878390193,False
2155.434458,2099.829957,55.60450135,basic,4,2,4,5,0.8959400356,0.8992861509,0.898087129,0.8580866098,False
2009.743698,1926.697105,83.0465937,basic,4,2,4,4,0.8848346472,0.8986590505,0.893010065,0.9156562835,False
2125.493881,1686.767225,438.7266565,basic,4,2,4,6,0.8912177831,0.9022798836,0.8898425251,0.9119287332,False
2032.792574,1960.199016,72.59355792,basic,4,2,4,4,0.8937329054,0.9007714391,0.8967216909,0.9072242677,False
1962.074533,1902.411353,59.66318047,basic,4,2,4,4,0.8964438289,0.8956742585,0.895905152,0.9030969739,False
1965.470975,1891.837221,73.63375461,regrettable,4,2,4,4,0.8916665167,0.8938506544,0.9047980905,0.9082680941,False
1931.184578,1909.259952,21.92462541,basic,4,2,4,4,0.8899272233,0.8991748989,0.9054560661,0.9122643769,False
2010.030474,1921.476471,88.5540027,basic,4,2,4,4,0.8913097084,0.897546798,0.9071792811,0.9031650722,False
2026.808957,1961.051688,65.75726836,pro,4,2,4,5,0.8970711976,0.9032938778,0.904512614,0.9121903658,False
1978.270061,1929.66131,48.60875035,basic,4,2,4,4,0.8925943673,0.8964695632,0.8930692226,0.9096743315,False
2043.641588,1987.668276,55.97331266,pro,4,2,4,4,0.8946207315,0.8915820718,0.9085753262,0.9062131345,False
1877.874753,1822.101448,55.7733044,pro,4,2,4,4,0.8804854304,0.8996208012,0.8989517689,0.9144483954,False
2091.386657,1998.913423,92.47323432,basic,4,2,3,4,0.8940850943,0.8863773644,0.8889093796,0.8944774121,False
1655.733734,1650.644801,5.088932762,basic,4,2,4,4,0.8932147473,0.8965604305,0.9032331556,0.9191044271,False
1996.126059,1928.715105,67.41095334,basic,4,2,4,5,0.8948316574,0.8976026177,0.8938537389,0.8948198676,False
2306.570565,2054.835506,251.7350588,pro,4,2,4,6,0.8893717974,0.8787066638,0.8952891827,0.8956151108,False
2026.552529,1919.876988,106.6755417,pro,4,2,4,4,0.8898488283,0.8962216377,0.9062910527,0.9071820974,False
2042.916325,1975.826145,67.09018065,basic,4,2,4,4,0.8899971843,0.899581939,0.9042216688,0.9053191692,False
2228.291485,1964.50067,263.7908146,basic,4,2,4,6,0.8727115244,0.8964182138,0.8966778666,0.9048625429,False
2062.419094,2021.274874,41.14421928,basic,4,2,4,4,0.8975033909,0.9003734887,0.9011759162,0.910309881,False
2150.450963,2127.560818,22.89014489,basic,4,2,4,5,0.8997067809,0.8883373737,0.8936377168,0.886311841,False
1969.689149,1913.602186,56.0869631,basic,4,2,4,4,0.8991177082,0.8949979246,0.8940646797,0.9111341983,False
2065.854893,1970.185199,95.66969377,basic,4,2,4,4,0.8981065601,0.8991860747,0.9040049016,0.9070439786,False
2104.337498,1991.188222,113.1492764,basic,4,2,4,4,0.8924384117,0.9014728367,0.897644192,0.906677559,False
1958.604809,1894.132751,64.4720582,basic,4,2,4,5,0.8923540711,0.8989527822,0.8915548325,0.910784781,False
1853.792487,1803.748398,50.04408944,basic,4,2,4,4,0.8852043897,0.899309665,0.9074779153,0.9135535061,False
2218.787379,2124.038987,94.74839181,basic,4,2,4,6,0.8924715668,0.8933979869,0.9016133547,0.9168917537,False
1990.083545,1962.24203,27.84151583,basic,4,2,4,4,0.8901470751,0.8932871521,0.898800537,0.9009930342,False
1841.378621,1725.280506,116.0981151,basic,4,2,4,4,0.8951401561,0.8876012862,0.8891274929,0.9035458118,False
2026.719718,1897.659597,129.0601207,basic,4,2,4,4,0.8944149166,0.8868708313,0.898721084,0.9097639769,False
2167.794884,1918.551815,249.2430694,basic,4,2,4,4,0.8952807486,0.8887555599,0.8897839487,0.8755302578,False
2072.636059,1986.162821,86.47323738,basic,4,2,4,4,0.8939292133,0.9001120627,0.8982660174,0.90621005,False
1921.733785,1870.867721,50.86606338,basic,4,2,4,4,0.8930667788,0.8853808343,0.8933029026,0.9116292894,False
2044.71151,1951.657154,93.05435528,pro,4,2,4,4,0.8955513835,0.8888570368,0.8995772749,0.8996642232,False
2022.886088,1917.295882,105.5902062,basic,4,2,4,4,0.8926411867,0.8906161487,0.9023172557,0.9152540565,False
1825.992705,1749.557166,76.43553903,basic,4,2,4,4,0.8889956772,0.8953171372,0.8991575837,0.9193483889,False
2160.170845,2092.767215,67.40363086,basic,4,2,4,6,0.8825929612,0.9095685184,0.897179544,0.9049635927,False
1835.842223,1765.992969,69.84925365,basic,4,2,4,4,0.8923389167,0.8858608305,0.8949450105,0.9048143476,False
2057.367558,1914.469647,142.8979111,pro,4,2,4,4,0.8871339113,0.8960474133,0.8964451402,0.906063661,False
2279.027753,2198.631748,80.3960057,pro,4,2,4,6,0.8917278647,0.8977884054,0.8930768818,0.8882623414,False
1997.784818,1909.415791,88.36902709,basic,4,2,4,4,0.8915181905,0.8960230947,0.8995472789,0.8997945637,False
2230.642507,1966.886533,263.7559741,basic,4,2,4,6,0.8929151446,0.8998705447,0.9013838768,0.911754628,False
2073.51889,2007.382321,66.13656868,pro,4,2,4,4,0.8938351274,0.8984306157,0.8918366134,0.9139029682,False
2074.709763,1894.44855,180.2612122,basic,4,2,4,4,0.9012149721,0.8981167972,0.9012383819,0.9075042009,False
2026.155429,1958.018964,68.13646477,basic,4,2,4,5,0.8950071782,0.8999039233,0.9064588398,0.9150442362,False
2027.805637,1985.037833,42.76780443,basic,4,2,4,4,0.8886101246,0.8906768262,0.8976552039,0.9038375765,False
2064.121567,1928.386298,135.7352687,basic,4,2,4,4,0.899305135,0.8944073319,0.8946107924,0.9012315124,False
1912.499989,1845.275074,67.22491507,basic,4,2,4,4,0.8959866017,0.903536886,0.907828629,0.9063134044,False
2096.58942,1986.92834,109.6610797,basic,4,2,4,5,0.8878849,0.8944196105,0.8980584741,0.8955629468,False
1926.468855,1896.243822,30.22503296,basic,4,2,4,4,0.8972572237,0.8990919292,0.8871612102,0.9054907262,False
1984.932254,1919.859135,65.07311854,basic,4,2,4,4,0.8869788945,0.901532501,0.8979024589,0.8933716267,False
2019.268631,1895.104919,124.1637121,pro,3,2,4,4,0.8921982646,0.8825911582,0.8979631364,0.9149879217,False
2029.584778,1987.603134,41.98164434,basic,4,2,4,5,0.8984017372,0.9043122232,0.8955695629,0.9167993188,False
2049.815019,1977.568455,72.24656451,basic,4,2,4,4,0.8939977884,0.9002009332,0.8946520984,0.9079231322,False
2205.862519,2097.938109,107.9244098,pro,4,2,4,5,0.8906139433,0.8916166723,0.897000894,0.9160811782,False
1984.70684,1989.195472,-4.488631893,pro,4,2,4,4,0.8891616464,0.8944145143,0.9021812379,0.9012450725,False
2057.862234,1916.523431,141.3388036,basic,4,2,4,4,0.8980919272,0.8840874135,0.8998190165,0.9143179208,False
2042.944051,1975.504888,67.43916352,basic,4,2,4,4,0.8963703364,0.9042189419,0.8961428404,0.9111350179,False
1881.114382,1781.448863,99.66551901,basic,4,2,4,4,0.890758276,0.9008597732,0.8982301056,0.9210726917,False
2075.956492,1996.74706,79.20943152,basic,4,2,4,5,0.8939311951,0.9042657018,0.8973608464,0.9123409033,False
1859.131296,1804.467662,54.66363421,basic,4,2,4,4,0.8861877471,0.8943893015,0.9081575572,0.9048105031,False
2028.975031,1976.540873,52.43415734,pro,4,2,4,4,0.903931573,0.8965470195,0.9026626945,0.9119554907,False
2061.342149,1945.861494,115.4806546,basic,4,2,4,5,0.8913224787,0.9016827047,0.8991075903,0.9189055562,False
2021.295466,1928.704516,92.59095069,basic,4,2,4,5,0.885367021,0.8987489641,0.8901627958,0.9134174466,False
1993.588309,1911.125744,82.46256536,basic,4,2,4,4,0.8902573884,0.9008234739,0.9072953314,0.9062355608,False
1880.265714,1828.014578,52.25113529,basic,4,2,4,4,0.8926811516,0.8908168674,0.8993888944,0.9191112965,False
2016.602149,1951.924701,64.67744814,basic,4,2,4,4,0.8895721436,0.8986414969,0.8989653587,0.9027793109,False
2090.991563,1994.942238,96.04932528,basic,4,2,4,5,0.8880704194,0.8907726407,0.8999821991,0.9042948604,False
2038.107544,1942.019277,96.08826694,basic,4,2,3,5,0.9012904465,0.908354938,0.7709033092,0.8292008996,False
2024.22558,2008.342834,15.88274566,basic,4,2,4,4,0.9019736499,0.909612149,0.8908299357,0.9126079828,False
2073.904847,2034.250223,39.65462363,basic,4,2,4,5,0.8898684978,0.8955810368,0.9045178294,0.8768892646,False
1976.918078,1699.960909,276.957169,basic,4,2,4,4,0.9005989134,0.8962574303,0.8889490217,0.9029865414,False
1932.977309,1889.106412,43.87089659,basic,4,2,4,4,0.8935730904,0.8965097666,0.9032713622,0.918481797,False
2030.407977,1947.578575,82.82940265,basic,4,2,4,4,0.8897233754,0.9027916789,0.8980394602,0.9109330177,False
1810.61341,1725.110448,85.50296187,basic,4,2,4,4,0.8910885006,0.8970018923,0.9108586907,0.9183961302,False
1978.953732,1937.550081,41.40365143,basic,4,2,4,4,0.8922184259,0.885196656,0.8970662057,0.9128134251,False
2161.344489,2091.458748,69.88574103,pro,4,2,4,4,0.8982286155,0.8827945292,0.8884902894,0.9058216959,False
2134.00182,1917.179408,216.8224117,basic,4,2,4,6,0.892031163,0.8995085061,0.8985859156,0.9122103155,False
2009.346693,1946.999697,62.34699582,pro,4,2,4,4,0.8970405161,0.9022200406,0.8931724727,0.9037210792,False
2060.396696,1950.735359,109.6613373,pro,4,2,4,4,0.8892087787,0.8947249949,0.8930417001,0.9013414979,False
2121.850033,2046.697819,75.15221426,basic,4,2,4,5,0.9035625905,0.8918001354,0.9001306444,0.8693335533,False
1728.536483,1661.684013,66.85247028,pro,4,2,4,4,0.8795317709,0.8892918825,0.8887629807,0.911614731,False
2054.559166,1959.129382,95.42978422,basic,4,2,4,4,0.8914280236,0.9003528655,0.8904486597,0.9132770151,False
2213.288962,2190.131722,23.15723966,basic,4,2,4,6,0.8918782622,0.905113399,0.9015685469,0.893009603,False
2079.816755,1991.14812,88.66863454,basic,4,2,4,5,0.8909471482,0.8967628777,0.8969954848,0.8896524906,False
2407.886151,2251.020395,156.8657555,basic,4,2,4,6,0.8897050321,0.8995153308,0.8935837299,0.797716404,False
2308.117219,2184.995689,123.1215298,basic,5,2,4,5,0.7780492187,0.9019729793,0.8924132437,0.8569733858,False
1936.504321,1863.485183,73.01913782,basic,4,2,4,4,0.8900752068,0.8885187507,0.89624165,0.9079713076,False
2102.285567,2008.022112,94.26345537,basic,4,2,4,4,0.8904869109,0.9060898125,0.8847483397,0.9082958549,False
2081.322786,2042.575066,38.74772006,pro,4,2,4,4,0.8967412561,0.9041602015,0.9037907273,0.9023670554,False
2033.633755,1988.543194,45.09056138,basic,4,2,4,4,0.8929098248,0.9032886326,0.8887415528,0.9018509239,False
2193.253006,2055.846549,137.4064573,basic,4,2,4,6,0.8967573792,0.9013578594,0.8828525543,0.901652952,False
1985.264533,1885.880416,99.38411693,basic,4,2,4,4,0.8966007829,0.8921287656,0.8927055001,0.9100848883,False
1918.374518,1881.361162,37.01335647,basic,4,2,4,4,0.8966832012,0.8965030909,0.9056882113,0.9191204309,False
2071.079738,1987.030271,84.04946654,basic,4,2,4,6,0.894411996,0.8993148506,0.8981464654,0.9130022625,False
2037.382816,1964.207981,73.17483492,basic,4,2,4,4,0.8806628883,0.8940316141,0.9011396915,0.9059588164,False
2202.252065,2122.093275,80.15878943,basic,4,2,4,6,0.8974760622,0.9052266479,0.8966850489,0.9059048394,False
1767.573326,1726.410216,41.16311018,basic,4,2,2,4,0.8964833766,0.8969858587,0.894949615,0.9032147676,False
2004.864696,1899.284038,105.5806583,basic,4,2,4,4,0.8839121312,0.8975265622,0.8919023871,0.9039472193,False
1900.196803,1837.772746,62.42405718,pro,4,2,4,4,0.8928609639,0.9096627831,0.8941925466,0.906483084,False
2117.796821,1708.187735,409.6090853,basic,4,3,4,6,0.8933733553,0.749821792,0.7446871325,0.910717388,False
2135.887767,2067.373021,68.51474517,basic,4,2,4,4,0.8896402419,0.8964629471,0.89679645,0.9106569141,False
1982.806372,1972.589223,10.21714873,basic,4,2,4,4,0.8919678628,0.8928894699,0.8960502297,0.9121411443,False
1966.288366,1878.545757,87.74260907,basic,4,2,4,4,0.8999199271,0.9024292529,0.8891685456,0.9160383195,False
2119.881717,2027.453561,92.4281562,basic,4,2,4,4,0.8877472132,0.8969383538,0.8905563951,0.9010262042,False
2005.027101,1892.389054,112.6380475,basic,4,2,4,4,0.8622742593,0.8871214986,0.8950461596,0.90066728,False
1752.791185,1737.91905,14.87213468,basic,4,2,4,4,0.8947589695,0.8930512369,0.8951024562,0.9118553847,False
2044.922323,1946.036147,98.88617573,basic,4,2,4,4,0.8852312565,0.8882194459,0.8942410052,0.8949639648,False
2037.42059,1905.944544,131.4760465,pro,4,2,4,4,0.8955048621,0.891918391,0.8931213766,0.9086593837,False
1888.715011,1819.90363,68.81138076,basic,4,2,4,5,0.8928788751,0.8881559074,0.9043237567,0.8721834779,False
1906.965698,1848.475081,58.49061735,basic,4,2,4,4,0.8992682546,0.9039468765,0.8884147555,0.9089313,False
2000.81954,1888.017087,112.8024529,pro,4,2,4,4,0.8811066747,0.8060006499,0.8515336514,0.9116536528,False
